dataset,duration,neighbours,max_duration,max_duration_ls,iterations,best_iteration,initial_costs,initial_distance,best_costs,best_distance
skas_12t,240.738065613,1..23,240,5,46,27,67657.56589907139,2454.0609953225025,52505.404698842154,2126.2120412368213
skas_12t,241.253107142,1..23,240,5,46,29,82778.72937496453,3243.807950185285,45697.38780605,1737.9384847286547
skas_12t,241.047063294,1..23,240,5,46,38,76697.98858622622,2866.598663057225,49116.32135174143,1901.947324852595
skas_12t,241.841871649,1..23,240,5,46,11,82805.55756879918,3322.183242065115,49843.2990205698,2022.6519794194996
skas_12t,241.336236025,1..23,240,5,46,45,84899.58465309918,3073.0301903678787,55168.86384038152,2067.1043897959
skas_12t,241.672140797,1..23,240,5,46,3,77293.64238660624,2902.774816906443,51189.67824580423,2012.037904589974
skas_12t,241.018391317,1..23,240,5,46,8,87794.80818919592,3252.4935895545927,51599.346611874826,2020.5146295833465
skas_12t,241.12158503,1..23,240,5,46,33,84698.64341725266,3090.742988628367,52105.49341260435,2019.6898259512923
skas_12t,241.509814989,1..23,240,5,46,34,67084.05845994079,2491.6284004833615,47673.52462347222,1860.9179380625403
skas_12t,246.14467962,1..23,240,5,47,36,94489.03781869056,3388.187116612787,49378.87244379943,2036.0514339445303
skas_12t,240.970843387,1..23,240,5,46,23,69144.83228366231,2618.3844171952933,46068.64196910803,1914.1335686920397
skas_12t,241.373951329,1..23,240,5,46,44,94682.54679379007,3432.9461642257234,50314.276390618914,2053.2051900650463
